d,d_nj,fte,bk,kfc,roys,wendys,co_owned,centralj,southj,pa1,pa2,demp,State
1,1,13.1,0,1,1,1,1,0,1,1,1,12.5,New Jersey
1,1,19.3,0,1,1,1,1,0,1,1,1,7,New Jersey
1,1,18.8,1,1,0,1,1,0,1,1,1,-0.5,New Jersey
1,1,22.3,1,1,0,1,0,1,1,1,1,2.75,New Jersey
1,1,31.1,0,1,1,1,1,1,1,1,1,13.5,New Jersey
1,1,8.1,1,0,1,1,1,1,1,1,1,1.5,New Jersey
1,1,66.1,1,1,1,0,1,1,1,1,1,-27,New Jersey
1,1,25.6,0,1,1,1,1,1,1,1,1,17.5,New Jersey
1,1,44.8,1,1,1,0,1,1,0,1,1,8.5,New Jersey
1,1,9.7,1,1,1,0,1,1,0,1,1,6.5,New Jersey
1,1,15.9,0,1,1,1,1,1,1,1,1,0.5,New Jersey
1,1,32.1,1,1,0,1,0,1,1,1,1,-6,New Jersey
1,1,29.2,1,1,1,0,1,1,1,1,1,34.5,New Jersey
1,1,14,0,1,1,1,1,1,0,1,1,0.5,New Jersey
1,1,24.1,0,1,1,1,0,1,0,1,1,0,New Jersey
1,1,22.4,0,1,1,1,0,1,1,1,1,18,New Jersey
1,1,3.9,1,1,0,1,0,0,1,1,1,3.5,New Jersey
1,1,17.6,1,0,1,1,1,0,1,1,1,0,New Jersey
1,1,48.8,0,1,1,1,1,1,1,1,1,-17,New Jersey
1,1,10.9,1,0,1,1,0,0,1,1,1,-5,New Jersey
1,1,9.5,1,0,1,1,1,1,1,1,1,-2,New Jersey
1,1,15.9,1,0,1,1,1,0,1,1,1,4,New Jersey
1,1,22.1,1,1,0,1,1,1,1,1,1,-9,New Jersey
1,1,15.3,1,1,1,0,1,0,1,1,1,16,New Jersey
1,1,28.2,1,1,0,1,1,1,1,1,1,2.5,New Jersey
1,1,33.5,1,1,0,1,0,1,1,1,1,-2.5,New Jersey
1,1,45.3,1,1,1,0,1,1,1,1,1,-7.5,New Jersey
1,1,24.7,1,1,1,0,1,1,1,1,1,15.25,New Jersey
1,1,32.3,0,1,1,1,1,0,1,1,1,1,New Jersey
1,1,18.6,0,1,1,1,0,0,1,1,1,9,New Jersey
1,1,24,1,0,1,1,1,0,1,1,1,-1,New Jersey
1,1,23.6,1,1,1,0,1,1,1,1,1,4,New Jersey
1,1,11,1,0,1,1,0,0,1,1,1,1.25,New Jersey
1,1,31.6,1,1,0,1,1,0,1,1,1,-12.5,New Jersey
1,1,35.3,1,1,0,1,1,0,1,1,1,-9,New Jersey
1,1,30.9,1,1,1,0,1,0,1,1,1,-2,New Jersey
1,1,23.5,0,1,1,1,1,1,1,1,1,2,New Jersey
1,1,14.6,0,1,1,1,1,1,1,1,1,-5.25,New Jersey
1,1,23.4,0,1,1,1,1,1,1,1,1,3.5,New Jersey
1,1,9.5,0,1,1,1,1,1,1,1,1,-9.5,New Jersey
1,1,37.5,0,1,1,1,1,1,1,1,1,-22.25,New Jersey
1,1,12.2,1,0,1,1,1,1,1,1,1,3,New Jersey
1,1,36.4,1,1,0,1,0,1,1,1,1,12,New Jersey
1,1,31.3,1,1,0,1,0,1,1,1,1,-2.5,New Jersey
1,1,20.2,1,1,0,1,0,1,1,1,1,-7,New Jersey
1,1,31.2,1,1,1,0,1,1,1,1,1,-5,New Jersey
1,1,48.6,0,1,1,1,0,1,1,1,1,-5,New Jersey
1,1,24.9,0,1,1,1,0,1,1,1,1,11.5,New Jersey
1,1,15.1,1,1,0,1,1,1,1,1,1,0.25,New Jersey
1,1,24.1,1,1,0,1,0,1,1,1,1,-3.5,New Jersey
1,1,20,1,1,1,0,0,1,1,1,1,-3,New Jersey
1,1,39.2,0,1,1,1,1,1,1,1,1,-11,New Jersey
1,1,7.8,0,1,1,1,1,1,1,1,1,7.5,New Jersey
1,1,39.2,1,1,0,1,0,1,1,1,1,-9.5,New Jersey
1,1,34.1,1,1,0,1,0,1,1,1,1,-12.5,New Jersey
1,1,25.4,1,1,0,1,1,1,1,1,1,-3.5,New Jersey
1,1,25.5,0,1,1,1,1,1,0,1,1,4,New Jersey
1,1,27.2,0,1,1,1,0,1,0,1,1,0.75,New Jersey
1,1,8.4,1,0,1,1,0,1,0,1,1,2.5,New Jersey
1,1,18.6,1,0,1,1,0,1,0,1,1,0,New Jersey
1,1,12.8,1,0,1,1,0,1,0,1,1,0.5,New Jersey
1,1,14.9,1,0,1,1,0,1,0,1,1,3,New Jersey
1,1,18.2,0,1,1,1,0,1,1,1,1,-2,New Jersey
1,1,6.6,1,0,1,1,0,1,1,1,1,5.5,New Jersey
1,1,25.7,1,0,1,1,0,1,1,1,1,-12,New Jersey
1,1,10.8,1,0,1,1,1,1,0,1,1,-1,New Jersey
1,1,20.2,1,0,1,1,1,1,0,1,1,-1,New Jersey
1,1,46.8,1,1,0,1,1,1,0,1,1,-1,New Jersey
1,1,39.1,1,1,0,1,0,1,0,1,1,-18.5,New Jersey
1,1,24,1,1,1,0,1,1,0,1,1,1.5,New Jersey
1,1,28.6,0,1,1,1,1,1,0,1,1,-4.5,New Jersey
1,1,23.5,1,1,0,1,0,1,0,1,1,-6.5,New Jersey
1,1,33.6,1,1,1,0,1,1,0,1,1,-4.5,New Jersey
1,1,31.2,1,1,1,0,1,1,0,1,1,-2,New Jersey
1,1,26.1,1,1,1,0,1,1,1,1,1,10,New Jersey
1,1,38.3,0,1,1,1,1,1,1,1,1,0,New Jersey
1,1,30.1,0,1,1,1,0,1,1,1,1,6,New Jersey
1,1,41.3,0,1,1,1,1,1,1,1,1,-17,New Jersey
1,1,16.3,0,1,1,1,0,1,1,1,1,14,New Jersey
1,1,20.8,0,1,1,1,1,1,1,1,1,4,New Jersey
1,1,56,1,1,1,0,0,1,1,1,1,-1,New Jersey
1,1,15.7,1,1,1,0,0,1,1,1,1,3,New Jersey
1,1,46.4,0,1,1,1,1,1,1,1,1,-24,New Jersey
1,1,41.3,0,1,1,1,1,0,1,1,1,9.5,New Jersey
1,1,14.8,0,1,1,1,1,0,1,1,1,0,New Jersey
1,1,14.7,1,0,1,1,1,0,1,1,1,-4.5,New Jersey
1,1,28.3,1,1,0,1,1,0,1,1,1,5.5,New Jersey
1,1,39,1,1,0,1,1,0,1,1,1,5.5,New Jersey
1,1,28.7,0,1,1,1,1,0,1,1,1,-15.5,New Jersey
1,1,34.8,0,1,1,1,1,0,1,1,1,-2,New Jersey
1,1,42.9,0,1,1,1,1,0,1,1,1,-1.5,New Jersey
1,1,22.1,0,1,1,1,1,0,1,1,1,5.75,New Jersey
1,1,23.6,1,0,1,1,1,0,1,1,1,-4.5,New Jersey
1,1,28.1,1,1,0,1,1,0,1,1,1,-1,New Jersey
1,1,16.9,1,1,0,1,1,0,1,1,1,-2,New Jersey
1,1,17.5,1,1,0,1,1,0,1,1,1,12,New Jersey
1,1,50.1,1,1,0,1,1,0,1,1,1,2,New Jersey
1,1,31.9,0,1,1,1,1,1,0,1,1,10,New Jersey
1,1,17.4,1,0,1,1,1,1,0,1,1,-6,New Jersey
1,1,14.4,1,1,0,1,1,1,0,1,1,-1.5,New Jersey
1,1,13.2,0,1,1,1,1,1,1,1,1,9,New Jersey
1,1,21,0,1,1,1,1,0,1,1,1,3,New Jersey
1,1,9.3,1,0,1,1,1,1,1,1,1,2.5,New Jersey
1,1,4.4,1,0,1,1,1,1,1,1,1,4.5,New Jersey
1,1,31.8,1,1,0,1,1,1,1,1,1,-5.25,New Jersey
1,1,15.1,1,1,0,1,0,1,1,1,1,2.5,New Jersey
1,1,47.5,1,1,1,0,1,1,1,1,1,-6.75,New Jersey
1,1,39.1,0,1,1,1,1,0,1,1,1,-3.5,New Jersey
1,1,46.3,0,1,1,1,1,1,1,1,1,-7.5,New Jersey
1,1,36.1,0,1,1,1,1,1,1,1,1,8.5,New Jersey
1,1,23.8,0,1,1,1,1,1,1,1,1,-0.25,New Jersey
1,1,41,0,1,1,1,1,1,1,1,1,-13,New Jersey
1,1,24.1,0,1,1,1,1,1,1,1,1,0.5,New Jersey
1,1,47.1,0,1,1,1,1,1,1,1,1,-19.5,New Jersey
1,1,15.9,0,1,1,1,1,1,1,1,1,19,New Jersey
1,1,8.1,1,0,1,1,1,1,1,1,1,11,New Jersey
1,1,13.6,1,0,1,1,1,1,1,1,1,-0.5,New Jersey
1,1,36.2,1,1,0,1,0,1,1,1,1,11,New Jersey
1,1,24.1,1,1,0,1,0,1,1,1,1,-1,New Jersey
1,1,24.4,0,1,1,1,1,0,1,1,1,8.5,New Jersey
1,1,29.7,0,1,1,1,1,0,1,1,1,-1,New Jersey
1,1,32.6,0,1,1,1,1,1,0,1,1,3.5,New Jersey
1,1,19.5,0,1,1,1,0,0,1,1,1,-3.5,New Jersey
1,1,15.8,0,1,1,1,0,0,1,1,1,3.5,New Jersey
1,1,26.5,0,1,1,1,0,1,1,1,1,2.5,New Jersey
1,1,17.3,1,0,1,1,1,0,1,1,1,-13,New Jersey
1,1,12.6,1,0,1,1,1,1,1,1,1,3.5,New Jersey
1,1,12.6,1,0,1,1,1,0,1,1,1,1.5,New Jersey
1,1,22.2,1,0,1,1,1,0,1,1,1,-1,New Jersey
1,1,114.7,1,1,0,1,0,0,1,1,1,-25.5,New Jersey
1,1,25.3,1,1,0,1,1,0,1,1,1,4.5,New Jersey
1,1,27.6,1,1,0,1,1,1,0,1,1,-5.5,New Jersey
1,1,58.3,1,1,1,0,1,0,1,1,1,-33.5,New Jersey
1,1,32.4,0,1,1,1,1,1,1,1,1,3,New Jersey
1,1,20.6,0,1,1,1,1,1,1,1,1,-2.5,New Jersey
1,1,15.5,0,1,1,1,0,1,1,1,1,6.5,New Jersey
1,1,25.6,0,1,1,1,1,1,1,1,1,3.5,New Jersey
1,1,40.1,1,1,0,1,1,1,1,1,1,3.75,New Jersey
1,1,34.2,0,1,1,1,1,0,1,1,1,22,New Jersey
1,1,62.8,0,1,1,1,1,0,1,1,1,-18.5,New Jersey
1,1,23.6,0,1,1,1,1,0,1,1,1,14.25,New Jersey
1,1,18.6,0,1,1,1,1,1,1,1,1,10,New Jersey
1,1,39.2,0,1,1,1,1,1,1,1,1,4.5,New Jersey
1,1,28.1,0,1,1,1,0,0,1,1,1,0.5,New Jersey
1,1,30.2,0,1,1,1,1,1,1,1,1,16.5,New Jersey
1,1,22.4,0,1,1,1,1,0,1,1,1,12.5,New Jersey
1,1,30.7,1,0,1,1,1,0,1,1,1,-9,New Jersey
1,1,37.8,1,1,0,1,0,0,1,1,1,2.75,New Jersey
1,1,46.1,1,1,0,1,0,0,1,1,1,-6.5,New Jersey
1,1,19.4,1,1,0,1,0,0,1,1,1,0.5,New Jersey
1,1,25.2,1,1,0,1,1,0,1,1,1,2.25,New Jersey
1,1,35.6,1,1,0,1,0,1,1,1,1,2,New Jersey
1,1,30.5,1,1,1,0,1,0,1,1,1,5,New Jersey
1,1,34.4,1,1,1,0,1,0,1,1,1,4.5,New Jersey
1,1,38.7,1,1,1,0,1,1,1,1,1,24.5,New Jersey
1,1,38.8,0,1,1,1,1,1,1,1,1,-2,New Jersey
1,1,11.7,0,1,1,1,1,1,1,1,1,2.5,New Jersey
1,1,14.1,0,1,1,1,1,1,1,1,1,8.25,New Jersey
1,1,16.4,0,1,1,1,1,1,1,1,1,-5,New Jersey
1,1,6.6,1,0,1,1,1,1,1,1,1,1,New Jersey
1,1,10.5,1,0,1,1,1,1,1,1,1,3,New Jersey
1,1,22.8,1,1,0,1,0,1,1,1,1,-1.5,New Jersey
1,1,39.4,1,1,1,0,1,1,1,1,1,-7,New Jersey
1,1,28.1,0,1,1,1,1,1,1,1,1,1.5,New Jersey
1,1,21.4,0,1,1,1,0,1,1,1,1,0.75,New Jersey
1,1,23.3,0,1,1,1,1,1,1,1,1,5,New Jersey
1,1,46.3,0,1,1,1,1,1,1,1,1,-4.5,New Jersey
1,1,36.4,0,1,1,1,1,1,1,1,1,8.5,New Jersey
1,1,42.4,0,1,1,1,1,1,1,1,1,8.75,New Jersey
1,1,25.1,1,0,1,1,0,1,1,1,1,-12.5,New Jersey
1,1,11.5,1,0,1,1,1,1,1,1,1,0.5,New Jersey
1,1,15.1,1,0,1,1,1,1,1,1,1,-0.25,New Jersey
1,1,15.3,1,0,1,1,1,1,0,1,1,-2.5,New Jersey
1,1,13.7,1,0,1,1,1,1,1,1,1,4.5,New Jersey
1,1,10.2,1,0,1,1,1,0,1,1,1,-1,New Jersey
1,1,21.6,1,1,0,1,1,1,1,1,1,1.5,New Jersey
1,1,19.2,1,1,0,1,1,1,1,1,1,-1.5,New Jersey
1,1,31.8,1,1,1,0,1,1,1,1,1,-6,New Jersey
1,1,13.4,1,1,1,0,1,1,1,1,1,1.5,New Jersey
1,1,18.6,1,1,1,0,1,1,1,1,1,6,New Jersey
1,1,12.5,1,0,1,1,1,1,1,1,1,8,New Jersey
1,1,42,0,1,1,1,1,1,1,1,1,-3.5,New Jersey
1,1,18.8,0,1,1,1,1,1,1,1,1,11,New Jersey
1,1,47.8,0,1,1,1,1,1,1,1,1,-18,New Jersey
1,1,25.1,0,1,1,1,1,1,1,1,1,7.5,New Jersey
1,1,13.7,0,1,1,1,1,1,1,1,1,4,New Jersey
1,1,16.6,1,0,1,1,0,1,1,1,1,-3,New Jersey
1,1,37.6,1,1,0,1,0,1,1,1,1,-7.5,New Jersey
1,1,33.9,1,1,0,1,0,1,1,1,1,3,New Jersey
1,1,9.2,1,1,1,0,0,1,1,1,1,-1,New Jersey
1,1,32,0,1,1,1,1,1,0,1,1,3,New Jersey
1,1,30,0,1,1,1,1,1,0,1,1,8.25,New Jersey
1,1,16.7,0,1,1,1,0,1,0,1,1,6.75,New Jersey
1,1,33.5,0,1,1,1,1,1,0,1,1,3,New Jersey
1,1,28.6,0,1,1,1,1,1,0,1,1,10.5,New Jersey
1,1,11.5,1,0,1,1,1,1,0,1,1,4,New Jersey
1,1,15.6,1,0,1,1,0,1,0,1,1,-1,New Jersey
1,1,16.5,1,0,1,1,0,1,0,1,1,-1,New Jersey
1,1,10.3,1,0,1,1,0,1,0,1,1,5.5,New Jersey
1,1,11.9,1,0,1,1,1,1,0,1,1,0,New Jersey
1,1,16.3,1,0,1,1,1,1,0,1,1,-6,New Jersey
1,1,22,1,1,0,1,0,1,0,1,1,-4,New Jersey
1,1,13.3,1,1,0,1,0,1,0,1,1,1.5,New Jersey
1,1,19.1,1,1,0,1,0,1,0,1,1,9.5,New Jersey
1,1,19.5,1,1,1,0,1,1,0,1,1,2.5,New Jersey
1,1,23.2,1,1,1,0,1,1,0,1,1,3.75,New Jersey
1,1,41.1,0,1,1,1,1,1,1,1,1,5,New Jersey
1,1,16.2,0,1,1,1,1,1,1,1,1,11.5,New Jersey
1,1,23.9,0,1,1,1,1,1,1,1,1,3.5,New Jersey
1,1,24.4,0,1,1,1,1,1,1,1,1,-3.5,New Jersey
1,1,35.5,0,1,1,1,1,1,1,1,1,0.5,New Jersey
1,1,20.1,1,0,1,1,0,1,1,1,1,24,New Jersey
1,1,31.4,1,0,1,1,1,1,1,1,1,-8,New Jersey
1,1,23.6,1,1,0,1,0,1,1,1,1,-1,New Jersey
1,1,38.4,1,1,0,1,0,1,1,1,1,-1.5,New Jersey
1,1,28.6,1,1,1,0,1,1,1,1,1,0.5,New Jersey
1,1,27.2,1,1,1,0,1,1,1,1,1,1.5,New Jersey
1,1,12.2,0,1,1,1,1,1,0,1,1,6.5,New Jersey
1,1,5.9,1,0,1,1,0,1,0,1,1,2.5,New Jersey
1,1,20,1,1,0,1,0,1,0,1,1,1,New Jersey
1,1,23.8,0,1,1,1,1,1,0,1,1,14.5,New Jersey
1,1,18.7,0,1,1,1,0,1,0,1,1,-1.5,New Jersey
1,1,13.6,0,1,1,1,1,1,0,1,1,-1.75,New Jersey
1,1,6.7,0,1,1,1,1,1,0,1,1,10,New Jersey
1,1,13.7,0,1,1,1,1,1,0,1,1,-10.5,New Jersey
1,1,32.8,0,1,1,1,1,1,0,1,1,28.5,New Jersey
1,1,11.2,1,0,1,1,0,1,0,1,1,6,New Jersey
1,1,11,1,0,1,1,0,1,0,1,1,-2,New Jersey
1,1,7.4,1,0,1,1,0,1,0,1,1,-2.5,New Jersey
1,1,20.9,1,0,1,1,0,1,0,1,1,-1,New Jersey
1,1,6.7,1,0,1,1,0,1,0,1,1,1,New Jersey
1,1,11.6,1,1,0,1,0,1,0,1,1,-11.5,New Jersey
1,1,17.9,1,1,0,1,0,1,0,1,1,-5,New Jersey
1,1,24.5,1,1,0,1,0,1,0,1,1,-4.5,New Jersey
1,1,18.3,1,1,0,1,0,1,0,1,1,1.5,New Jersey
1,1,22.4,1,1,0,1,0,1,0,1,1,-2,New Jersey
1,1,10.1,1,1,0,1,0,1,0,1,1,0,New Jersey
1,1,10.3,1,1,0,1,0,1,0,1,1,0.5,New Jersey
1,1,18.6,1,1,1,0,1,1,0,1,1,-3,New Jersey
1,1,23.8,1,1,1,0,1,1,0,1,1,-0.5,New Jersey
1,1,22.8,1,1,1,0,1,1,0,1,1,3.5,New Jersey
1,1,20.1,0,1,1,1,0,1,1,1,1,15,New Jersey
1,1,32.4,1,1,0,1,0,1,1,1,1,2.5,New Jersey
1,1,36.1,1,1,0,1,1,1,1,1,1,-1,New Jersey
1,1,9.6,1,1,0,1,0,1,1,1,1,7.5,New Jersey
1,1,26.9,1,1,0,1,0,1,1,1,1,13.75,New Jersey
1,1,27.6,1,1,1,0,1,1,1,1,1,0,New Jersey
1,1,8.9,0,1,1,1,1,1,0,1,1,-2.5,New Jersey
1,1,16.3,0,1,1,1,1,1,0,1,1,5.5,New Jersey
1,1,32.8,0,1,1,1,0,1,0,1,1,-3,New Jersey
0,1,7.4,0,1,1,1,1,1,0,1,1,1.5,New Jersey
0,1,10.5,1,0,1,1,1,1,0,1,1,3,New Jersey
0,1,11.7,1,0,1,1,1,1,0,1,1,19,New Jersey
0,1,20.5,1,1,0,1,0,1,0,1,1,0.5,New Jersey
0,1,16.4,1,1,0,1,0,1,0,1,1,-3.5,New Jersey
0,1,15.1,0,1,1,1,1,0,1,1,1,2.25,New Jersey
0,1,60.9,0,1,1,1,1,1,0,1,1,-12.5,New Jersey
0,1,36.1,0,1,1,1,0,1,0,1,1,6.25,New Jersey
0,1,30.9,0,1,1,1,0,1,0,1,1,-11,New Jersey
0,1,27.1,0,1,1,1,1,1,0,1,1,2,New Jersey
0,1,11.3,1,0,1,1,0,1,0,1,1,2.5,New Jersey
0,1,16.8,1,0,1,1,0,1,0,1,1,-3,New Jersey
0,1,8.4,1,0,1,1,0,1,0,1,1,3.25,New Jersey
0,1,16.2,1,1,0,1,0,0,1,1,1,-10.75,New Jersey
0,1,13.8,1,1,0,1,0,1,0,1,1,1,New Jersey
0,1,19.4,1,1,0,1,0,1,0,1,1,5.75,New Jersey
0,1,14.2,1,1,1,0,1,0,1,1,1,0.5,New Jersey
0,1,20,0,1,1,1,0,1,0,1,1,2.5,New Jersey
0,1,29.7,0,1,1,1,1,1,0,1,1,11,New Jersey
0,1,19.3,0,1,1,1,1,1,0,1,1,4.5,New Jersey
0,1,24.4,1,0,1,1,1,1,0,1,1,4.5,New Jersey
0,1,18.1,1,0,1,1,1,1,0,1,1,4,New Jersey
0,1,20.7,1,1,0,1,1,1,0,1,1,1.5,New Jersey
0,1,12.4,1,1,1,0,1,1,0,1,1,2,New Jersey
0,1,15.5,0,1,1,1,0,1,1,1,1,-11,New Jersey
0,1,47.4,0,1,1,1,1,1,1,1,1,2.95,New Jersey
0,1,17.6,0,1,1,1,1,1,1,1,1,-1,New Jersey
0,1,19.4,0,1,1,1,1,1,1,1,1,2.5,New Jersey
0,1,33.8,0,1,1,1,1,1,1,1,1,4.5,New Jersey
0,1,29.5,0,1,1,1,1,1,1,1,1,5,New Jersey
0,1,14.6,0,1,1,1,1,1,1,1,1,0.5,New Jersey
0,1,33.5,0,1,1,1,1,1,1,1,1,-0.5,New Jersey
0,1,9.5,0,1,1,1,1,1,1,1,1,11,New Jersey
0,1,22.4,1,0,1,1,1,1,1,1,1,-1.5,New Jersey
0,1,17.1,1,0,1,1,0,1,1,1,1,11.5,New Jersey
0,1,48.9,1,1,0,1,0,1,1,1,1,-9.5,New Jersey
0,1,22.6,1,1,0,1,0,1,1,1,1,-4,New Jersey
0,1,30.2,1,1,0,1,0,1,1,1,1,11.5,New Jersey
0,1,14.9,1,1,0,1,0,1,1,1,1,11.5,New Jersey
0,1,20.5,1,1,0,1,0,1,1,1,1,-3,New Jersey
0,1,13.6,1,1,0,1,1,1,1,1,1,8,New Jersey
0,1,14.8,1,1,0,1,0,1,1,1,1,3,New Jersey
0,1,29.2,1,1,0,1,0,1,1,1,1,-5,New Jersey
0,1,29.8,0,1,1,1,1,1,1,1,1,0.5,New Jersey
0,1,30.2,0,1,1,1,1,1,1,1,1,4.5,New Jersey
0,1,10.8,1,0,1,1,1,0,1,1,1,-1.5,New Jersey
0,1,22.9,0,1,1,1,1,1,1,1,1,-9.5,New Jersey
0,1,36.7,0,1,1,1,1,1,1,1,1,-1,New Jersey
0,1,42.9,0,1,1,1,1,1,1,1,1,-5.5,New Jersey
0,1,22.4,0,1,1,1,0,1,1,1,1,5,New Jersey
0,1,50.6,0,1,1,1,1,1,1,1,1,-19.5,New Jersey
0,1,18.6,1,0,1,1,0,1,1,1,1,-2,New Jersey
0,1,53.3,1,0,1,1,0,1,1,1,1,4,New Jersey
0,1,6.6,1,0,1,1,1,1,1,1,1,10,New Jersey
0,1,7.2,1,0,1,1,0,1,1,1,1,15.25,New Jersey
0,1,15.3,1,0,1,1,0,1,1,1,1,8.25,New Jersey
0,1,22.2,1,1,0,1,0,1,1,1,1,-3.5,New Jersey
0,1,23.5,1,1,1,0,1,1,1,1,1,7,New Jersey
0,1,27.6,1,1,1,0,1,1,1,1,1,6,New Jersey
0,0,32.3,0,1,1,1,1,0,1,1,1,12.5,New Jersey
0,0,35,0,1,1,1,1,0,1,1,1,7,New Jersey
0,0,20,1,1,0,1,1,0,1,1,1,-0.5,New Jersey
0,0,34.3,1,1,0,1,0,1,1,1,1,2.75,New Jersey
0,0,58.5,0,1,1,1,1,1,1,1,1,13.5,New Jersey
0,0,12.9,1,0,1,1,1,1,1,1,1,1.5,New Jersey
0,0,23.6,1,1,1,0,1,1,1,1,1,-27,New Jersey
0,0,63.1,0,1,1,1,1,1,1,1,1,17.5,New Jersey
0,0,52.7,1,1,1,0,1,1,0,1,1,8.5,New Jersey
0,0,21.8,1,1,1,0,1,1,0,1,1,6.5,New Jersey
0,0,26.4,0,1,1,1,1,1,1,1,1,0.5,New Jersey
0,0,29.1,1,1,0,1,0,1,1,1,1,-6,New Jersey
0,0,63.3,1,1,1,0,1,1,1,1,1,34.5,New Jersey
0,0,20.7,0,1,1,1,1,1,0,1,1,0.5,New Jersey
0,0,24.1,0,1,1,1,0,1,0,1,1,0,New Jersey
0,0,64.1,0,1,1,1,0,1,1,1,1,18,New Jersey
0,0,7.7,1,1,0,1,0,0,1,1,1,3.5,New Jersey
0,0,11.7,1,0,1,1,1,0,1,1,1,0,New Jersey
0,0,19.6,0,1,1,1,1,1,1,1,1,-17,New Jersey
0,0,10.5,1,0,1,1,0,0,1,1,1,-5,New Jersey
0,0,11.1,1,0,1,1,1,1,1,1,1,-2,New Jersey
0,0,14.1,1,0,1,1,1,0,1,1,1,4,New Jersey
0,0,18.7,1,1,0,1,1,1,1,1,1,-9,New Jersey
0,0,53.1,1,1,1,0,1,0,1,1,1,16,New Jersey
0,0,49.7,1,1,0,1,1,1,1,1,1,2.5,New Jersey
0,0,26.1,1,1,0,1,0,1,1,1,1,-2.5,New Jersey
0,0,22.3,1,1,1,0,1,1,1,1,1,-7.5,New Jersey
0,0,32.5,1,1,1,0,1,1,1,1,1,15.25,New Jersey
0,0,27.8,0,1,1,1,1,0,1,1,1,1,New Jersey
0,0,40.7,0,1,1,1,0,0,1,1,1,9,New Jersey
0,0,15.8,1,0,1,1,1,0,1,1,1,-1,New Jersey
